u	C	S
-10.0	-0.49989869420551675	-0.4681699785848784
-9.97997997998	-0.481170820367663	-0.47425721421931977
-9.95995995996	-0.4695868329043757	-0.49018361853315323
-9.93993993994	-0.4695392842319227	-0.5098784956608932
-9.91991991992	-0.4810276214432866	-0.5258772388099213
-9.8998998999	-0.4996994695255403	-0.5321505867128374
-9.87987987988	-0.5185270625565921	-0.5263570059513483
-9.85985985986	-0.5304631324374255	-0.5106845776776854
-9.83983983984	-0.5310688236764446	-0.49099247907850285
-9.81981981982	-0.5201377122663604	-0.4746001896879853
-9.7997997998	-0.5017321421138453	-0.467565847036566
-9.77977977978	-0.4826458210455678	-0.4724658348251392
-9.75975975976	-0.46988433478525393	-0.4874822407112307
-9.73973973974	-0.4681020057856286	-0.5071093043647186
-9.71971971972	-0.47792954587466785	-0.5241934499112377
-9.6996996997	-0.4957838043858935	-0.5325435503356002
-9.67967967968	-0.5152025599762718	-0.5291581835770899
-9.65965965966	-0.5291972925256895	-0.5152748773371275
-9.63963963964	-0.5327626504772093	-0.49588578735666955
-9.61961961962	-0.5246438157099985	-0.477919628399027
-9.5995995996	-0.5077462686815295	-0.46775985921371077
-9.57957957958	-0.48806672029410514	-0.4689898763916566
-9.55955955956	-0.47254845104548476	-0.48115664875336983
-9.53953953954	-0.46663360769657797	-0.4999691717940709
-9.51951951952	-0.4723743433895995	-0.518836858857811
-9.4994994995	-0.4877511464624612	-0.5311879218364852
-9.47947947948	-0.5074134555960426	-0.5327491708685675
-9.45945945946	-0.5245611620769922	-0.5229998615328444
-9.43943943944	-0.5332988636208885	-0.5053138694947322
-9.41941941942	-0.5306472409996393	-0.48576497146608966
-9.3993993994	-0.5175309559616387	-0.47102718808789007
-9.37937937938	-0.4984255897571987	-0.4661004497012329
-9.35935935936	-0.47980739545237083	-0.47263490361585814
-9.33933933934	-0.4679503276928895	-0.4884081268379144
-9.31931931932	-0.4668220283955605	-0.5081098995549725
-9.2992992993	-0.4767806392308074	-0.5251483020574412
-9.27927927928	-0.4944918716901326	-0.5338569998775942
-9.25925925926	-0.5140715472170219	-0.531364317833931
-9.23923923924	-0.5290538159629551	-0.5185129884679601
-9.21921921922	-0.5345225709770208	-0.4995455018465194
-9.1991991992	-0.52870499696881	-0.48068081656400236
-9.17917917918	-0.5135174659293574	-0.46806705391454345
-9.15915915916	-0.49390586100853684	-0.4657865825063093
-9.13913913914	-0.4762159913202791	-0.4745576428196592
-9.11911911912	-0.46613685468603583	-0.491537668894765
-9.0990990991	-0.4668841796739304	-0.5112708637534839
-9.07907907908	-0.4781997202812451	-0.5274561381979416
-9.05905905906	-0.49646918736582857	-0.5349580136663609
-9.03903903904	-0.5159005141156646	-0.5314193698947027
-9.01901901902	-0.5303711419152125	-0.5179751820484826
-8.998998999	-0.5353519634549875	-0.49886017825236617
-8.97897897898	-0.5293052564291438	-0.4800539057388072
-8.95895895896	-0.5141316041250326	-0.46740300353371383
-8.93893893894	-0.49454538991263597	-0.4648123156812626
-8.91891891892	-0.47659187216273036	-0.47306149453173
-8.8988988989	-0.46577762912473486	-0.4895986073412866
-8.87887887888	-0.4653934246532583	-0.509355187039971
-8.85885885886	-0.4755363945657282	-0.5263150283819573
-8.83883883884	-0.49311450760339154	-0.5353467448379131
-8.81881881882	-0.512813048613647	-0.5337419875825327
-8.7987987988	-0.5287141841284042	-0.5220028497380874
-8.77877877878	-0.5360725284786889	-0.5036574459233956
-8.75875875876	-0.5327149192414773	-0.4841774295451128
-8.73873873874	-0.5196566968956993	-0.4693358389063551
-8.71871871872	-0.5007678487303286	-0.4635008835032137
-8.6986986987	-0.4816056777350979	-0.46836829541921954
-8.67867867868	-0.46777180607346425	-0.48249449794005733
-8.65865865866	-0.4632813417627533	-0.5017508304106107
-8.63863863864	-0.4694167903855105	-0.5205490161628517
-8.61861861862	-0.48438793851843465	-0.5334689638667625
-8.5985985986	-0.5038794964003601	-0.5368132432187038
-8.57857857858	-0.5223122641385414	-0.5296450694808044
-8.55855855856	-0.5344445517457408	-0.5140245142086172
-8.53853853854	-0.53685317225499	-0.49439196202177255
-8.51851851852	-0.5288785528835974	-0.4762897988174604
-8.4984984985	-0.5127792465050136	-0.4647946080971446
-8.47847847848	-0.4930685119636213	-0.46310400812678454
-8.45845845846	-0.4752340466851932	-0.47166829686306805
-8.43843843844	-0.4642079702207086	-0.48809646596535955
-8.41841841842	-0.46301399878211064	-0.5078468417436202
-8.3983983984	-0.4719595276994907	-0.5254968879888812
-8.37837837838	-0.48858227005173005	-0.5362334919955674
-8.35835835836	-0.5083505888476915	-0.5371539862290412
-8.33833833834	-0.5259125716811707	-0.5280296284301309
-8.31831831832	-0.5365461046970841	-0.5113368626204365
-8.2982982983	-0.5374169890242223	-0.4915630106034512
-8.27827827828	-0.5283132734217835	-0.4739866306161319
-8.25825825826	-0.5116715466756354	-0.4632673624489846
-8.23823823824	-0.49190288583739467	-0.4622220225763019
-8.21821821822	-0.47421035274281437	-0.47110513953271305
-8.1981981982	-0.4632182974948347	-0.4875718612059009
-8.17817817818	-0.461774660910909	-0.5073186766806098
-8.15815815816	-0.4702333519932521	-0.5252215775499107
-8.13813813814	-0.4863919094234427	-0.5366673952199975
