Samples	Value	Error
3	539.404819955	24.1260344348
10	535.88975609	11.9644919297
32	538.858840446	7.23758269849
100	536.444628992	3.62874139066
316	537.021223263	2.79604677891
1000	536.98058686	1.28067210252
3162	537.048554059	0.659327387129
10000	537.219550079	0.321610820522
31623	537.149983221	0.157677136178
100000	537.182197065	0.103688370716
316228	537.16904399	0.0577026267398
1000000	537.184202439	0.0490843673269
3162278	537.193070341	0.0195397561032
10000000	537.185675477	0.0104820361256
